"reviewerId","asin","reviewerName","reviewerText","overall","reviewTime"
"","","Karvala","The keyboard itself is okay, but longevity is an issue.  After substantial use, or if it gets significantly dusty, keys will begin to stick.  Otherwise, the keyboard is quite nice to use.# The mouse is too small to be comfortable; this is not a mouse that most people would enjoy using on a regular basis so be prepared to replace the mouse if you're planning on using it for a prolonged period. Based on the actual products, this would get 3/4 stars from me.  However, this was sold as new but the box was bashed, had clearly been previously opened (i.e. looked like a badly repackaged return) and there was no USB dongle in either the box or in the space in the mouse where it is supposed to be.  Clearly someone had stolen it and nobody bothered to check before sending it out again.  Very poor service.","1.0","22 November 2022"
"","","Victoria Welton","I ordered this wireless mouse and keyboard twice - and both times it came with no USB dongle! Ridiculous!","1.0","6 January 2024"
"","","Col Holmes","Mouse, spot on. Keyboard, ready to go through the window! The wireless element just doesn’t work, daily I’m typing away, look up and it’s stopped typing, and for no reason it’ll just restart letting you type, then having to re type all it missed. I’ve tried fresh batteries several times, not having a mobile phone between the receiver and keyboard, but whilst the mouse works fine, the keyboard is terrible.","1.0","4 October 2023"
"","","Mr J Adams","Has been connected less than a month, the A and F key have stopped working, have begun return","1.0","20 January 2024"
"","","B A pullen","There  is  nothing  to  reccomend  the  Mk  270 ,  I  have  had  two  that  were  frankly  useless  you  have  now  sent  a  third , it  goes  back  today  .  I  just  want  a  cordless  mouse  and  key  I  have  a  number  of  important  letters  to  write  on  a  regular  basis ,  if  you  cannot  supply  some  thing  immediately  I  will  have  to  cancel  my  prime  account  and  have  a  refund  this  is  the  second  time  for  this  request ,  if  you  cannot  help ,  let  me  know  I  will  go  else  where ,  this  is  the  second  letter  in  24  hrs,  not  a  brillant  service  at  all.","1.0","16 October 2021"
"","","NS123","I bought this Logitech MK270 to replace my old Dell wired keyboard and mouse which had run flawlessly for three years until the mouse's right click broke.  I own a Logitech wheel which works very well, so I decided to buy this keyboard/mouse combo.  It was easy to set up, though you do need to download software which is not mentioned in the manual.  Both the mouse and the keyboard worked well for about a day.  My PC was in sleep mode and I moved the mouse to wake it up and it didn't work, neither did the keyboard.  I restarted the computer but just a few seconds after turning the PC on, a message appeared on the screen saying that a keyboard must be connected to boot the computer.  The Logitech Unifying receiver probably had broken due to both the keyboard and the mouse not working.  I had to go and fish the old Dell mouse and keyboard out of the bin so I could start the computer.  I tried all troubleshooting steps but nothing worked so I returned this item to Amazon for a replacement.  Amazon's customer service was great as usual and I received the replacement quickly.  The replacement mouse/keyboard installed fine and ran well for a few weeks.  I was using my PC when the mouse abruptly stopped working.  I tried everything I could again but it would not work.  The keyboard was still working but I returned the items to Amazon again, for a refund this time. The keyboard and mouse were comfortable and easy to use while they worked, but the mouse was a bit on the small side. I replaced the mouse/keyboard with the Logitech MK330 wireless combo.  This is worth the extra money - months later it is still working perfectly. I would not recommend this product, it appears to be very bad quality, although Logitech is a good brand and I would still buy their products.","1.0","21 February 2014"
"","","Rob","The mouse is fine, and the keyboard was too for several months. But now the keyboard hits random keys whenever if feels like it. It's usually either opening help windows or opening tabs in browsers till I turn it off and reconnect. I've tried all the troubleshooting but nothing has worked, wouldn't buy this again as it's becoming impossible to work.","1.0","13 November 2023"
"","","Amazon Customer","I repeat; do not by this keyboard & mouse; the mouse is tiny, you can see light through the keyboard, flimsy and the lag/connectivity is a nightmare as is drops almost all the time!","1.0","13 December 2023"
"","","Becky S.","It worked fine for a couple of months but now the keyboard just stops working randomly and the mouse is not working smoothly. Sadly missed the return window so I’m stuck with the loss.","1.0","13 December 2023"
"","","Mohammad","The first week of use the key falls off keyboard very poor quality and not very strong for day to day use.  So please if you are someone who does not do much typing then this product is fine for you but if you will use this on a regular basis then this product is very poorly made.","1.0","25 October 2023"
"","","Amazon Customer","USB part missing. Box it came in tatty and broken. I'm getting a refund. Rubbish!","1.0","14 January 2024"
"","","Carly","Only half of the package turned up. Will not purchase again, as very annoying","1.0","4 January 2024"
"","","Sandra Tomes","I bought this for a new starter so didn't set it up until Monday but when I did, the keys stick down. I tried to return it but I'm out of time apparently even though it doesn't work. It's not just a change of mind - I'd like a replacement. I bought it 20 April but I should have returned it by 22nd May - I thought there were longer guarantees with Amazon - one reason why I buy through them. There's no way to contact the store to tell them about the issue. Very poor customer service","1.0","30 June 2023"
"","","Kindle Customer","Product came without a USB plug for me so is pretty useless unfortunately.","1.0","8 January 2024"
"","","Mark","Absolute waste of time, don't bother buying, you will smash everything within reach of your desk. Repeated, spontaneous drop outs of connection for the keyboard. You cannot even type an email as it just cuts off connection, then randomly connects again, resulting in missed letters or words all over the place. I cannot state enough how much of a waste of money this is, please don't bother. It isn't worth it. And my keyboard and mouse are within about 18 inches of the dongle as well, so it isn't range, it is just really, really, rubbishness.","1.0","29 June 2023"
"","","Stuart D Watkins","What I have saved in buying this piece of junk, will be made up exponentially with the quantity of batteries I will have to buy! 4 days they lasted, both mouse and keyboard, and won't always remember to turn them off, I have enough to think about. The ergonomics are also terrible, the design too!","1.0","31 October 2023"
"","","Jermaine Lindsay","I've had this keyboard less than a year now and the signal is terrible. It just cuts out and you have to turn it on and off again for it to work. Even then after a while it just stops receiving the signal and/or is very jerky. Really surprised Logitech would produce something like this. I bought Logitech because I've used so many of their products in the past which have usually been of a really good standard. I'm outside my window for returns now so I'll have to buy a new one. Frustrating.","1.0","24 June 2023"
"","","Amazon Customer","Not impressed with the keyboard or mouse, the keyboard keys duplicate the letters when typing, so forever deleting and the mouse doesn't work after trying 4 different batteries","1.0","3 December 2023"
"","","Ryan Duffer","Bought this because Logitech is generally a really good brand and wanted a cheap wireless keyboard/mouse however it is cheap for a reason. This keyboard is absolutely awful. I can understand the poor responsiveness of the keys given the price however the keys stick after 3 months of use, and the keyboard has been used sparingly. I would buy Logitech equipment again however I’d be a bit more careful on their “budget” range from now on.","1.0","26 August 2023"
"","","Amazon Customer","F1 key doesn’t work when pressed but triggers randomly other times opening chrome help windows or popping open windows in other software randomly etc.","1.0","13 December 2023"
"","","amie hewitt","Came in good packaging delivery was great . USB in box for keyboard but when opening the mouse back no usb for it","1.0","2 December 2023"
"","","Anja Nikodem","Unfortunatly, it stated that there would be working batteries, so I could use it right away. The batteries in the item, do not work anymore in neither the keyboard not the mouse. The customer service is not helpful at all!!! I would just like to have a partial refund, though they want me to sent back everything. That would mean, I would have to post it, wait for the new one. Meanwhile I wouldn't be able to work.","1.0","14 August 2023"
"","","Glecy Bernardo","USB receiver missing and therefore unusable.","1.0","28 January 2024"
"","","C. C.","Update. I'm reducing this to 1 star - can't select none. After only four months of use, the keyboard is pretty much ready for the bin. Letters worn off keys I can cope with but I would expect them to last a few years, not weeks. But now the spacebar only works if you hit it in the exact centre, and several other keys are becoming difficult to get a clean press on. DO NOT BUY this keyboard if you type with any more than one finger a few times a month. I eventually worked out how to stop the mouse going nuts - you need to find and disable their smooth-scroll option.  The mouse is still too small. -- Mouse is also small - frankly a little too small, it would be fine for packing in a laptop bag where space is limited but it's a bit annoying that it was not advertise as a small mouse. AND IT'S USELESS with Google maps. No clue what they've done wrong here, and now I see I'm by no means the only person to have this. Zoom out ONE mouse-wheel click and you're looking at half the planet. Zoom back in a click and you're trying to read the serial number on a manhole cover.","1.0","21 October 2020"
"","","Sound Engineer","Not as pictured. Do not buy.","1.0","17 January 2024"
